Serial_Number,Campaign_Name,Objective,Amount_Spent,Amount_Install,Amount_Purchase,Purchase_Conversion_Value,Amount_Subscribe,Subscribe_Conversion_Value,Reporting_Date,Category
202010160005364,股市爆料同學會_測試專用_20200606(下載),APP_INSTALLS,2936,342,1,3590,,,20201122,FB
202010160005365,20200801_林恩如_AOS_下載_軟體,APP_INSTALLS,356,41,,,,,20201122,FB
202010160005366,20200801_林恩如_iOS_下載_軟體,APP_INSTALLS,684,39,1,990,1,,20201122,FB
202010160005367,股市爆料同學會_大眾TA_20200828,APP_INSTALLS,2,1,,,,,20201122,FB
202010160005368,無聊詹_IOS_軟體,APP_INSTALLS,143,9,,,,,20201122,FB
202010160005369,無聊詹_AOS_軟體,APP_INSTALLS,142,14,,,,,20201122,FB
202010160005370,股市爆料同學會_大眾TA_20200915,APP_INSTALLS,39,3,,,,,20201122,FB
202010160005371,股市爆料同學會_再行銷_20200922,APP_INSTALLS,171,30,,,,,20201122,FB
202010160005372,20200922_艾蜜莉APP_IOS_下載_軟體,APP_INSTALLS,1078,101,,,,,20201122,FB
202010160005373,20200922_艾蜜莉APP_Android_下載_軟體,APP_INSTALLS,878,70,1,8388,,,20201122,FB
202010160005374,股市爆料同學會_Henry_自動化應用程式廣告Test_20200923_Android,APP_INSTALLS,4,,,,,,20201122,FB
202010160005375,股市爆料同學會_理財綜合(非儲備受眾)_20200923,APP_INSTALLS,3,,,,,,20201122,FB
202010160005376,股市爆料同學會_Henry_自動化應用程式廣告Test_20200923_iOS,APP_INSTALLS,4,,,,,,20201122,FB
202010160005377,丹尼爾_AOS_下載_軟體,APP_INSTALLS,50,4,,,,,20201122,FB
202010160005378,丹尼爾_IOS_下載_軟體,APP_INSTALLS,90,6,,,,,20201122,FB
202010160005379,股市爆料同學會_CM粉專_20201014,APP_INSTALLS,5,,,,,,20201122,FB
202010160005380,股市爆料同學會_影片廣告(無設受眾)_20201015_iOS,APP_INSTALLS,16,3,,,,,20201122,FB
202010160005381,股市爆料同學會_理財受眾A(非儲備受眾)_20201016,APP_INSTALLS,12,2,,,,,20201122,FB
202010160005382,第八屆大大工程師_20201020_陌生開發,LINK_CLICKS,1479,,,,,,20201122,FB
202010160005383,股市爆料同學會_影片廣告(無設受眾)_20201015_Android,APP_INSTALLS,14,1,,,,,20201122,FB
202010160005384,2020Q4林恩如_期指講座_轉換,CONVERSIONS,2495,,4,23930,,,20201122,FB
202010160005385,權證小哥_1023(轉換)_關鍵分點獨門解析講座,CONVERSIONS,779,,2,7348,,,20201122,FB
202010160005386,第八屆大大工程師_20201027_再行銷,LINK_CLICKS,973,,1,,,,20201122,FB
202010160005387,權證小哥_1029(觸及)_當沖實戰精華班,REACH,200,,,,,,20201122,FB
202010160005388,2020 Q4 恩如LIKE,PAGE_LIKES,1201,,1,8888,,,20201122,FB
202010160005389,第八屆大大工程師_20201103_精準組合,LINK_CLICKS,2532,,,,,,20201122,FB
202010160005390,股市爆料同學會_理財受眾A(非儲備受眾)_20201105,APP_INSTALLS,3,,,,,,20201122,FB
202010160005391,股市爆料同學會_理財受眾A(非儲備受眾)_20201106,APP_INSTALLS,5,,,,,,20201122,FB
202010160005392,2020Q4林恩如_實戰班講座_轉換,CONVERSIONS,4100,,8,44164,,,20201122,FB
202010160005393,20201110_艾蜜莉下載_IOS_自動化廣告_軟體,APP_INSTALLS,158,11,,,,,20201122,FB
202010160005394,20201110_艾蜜莉下載_Android_自動化廣告_軟體,APP_INSTALLS,326,26,2,5988,,,20201122,FB
202010160005395,期貨電子盤_下載_IOS,APP_INSTALLS,149,5,,,,,20201122,FB
202010160005396,期貨電子盤_下載_Android-興趣期貨Broken,APP_INSTALLS,14,1,,,,,20201122,FB
202010160005397,期貨電子盤_下載_IOS,APP_INSTALLS,12,,,,,,20201122,FB
202010160005398,期貨電子盤_下載_Android,APP_INSTALLS,12,,,,,,20201122,FB
202010160005399,順流小畢_1113(轉換)_商務艙推廣,CONVERSIONS,188,,1,5810,,,20201122,FB
202010160005400,20201116_股人阿勳_下載_IOS_軟體,APP_INSTALLS,1499,77,,,,,20201122,FB
202010160005401,20201116_股人阿勳_下載_Android_軟體,APP_INSTALLS,1499,105,,,,,20201122,FB
202010160005402,20201119_阿格力_下載_Android,APP_INSTALLS,499,54,,,,,20201122,FB
202010160005403,20201119_阿格力_下載_IOS,APP_INSTALLS,497,25,,,,,20201122,FB
202010160005404,武財神_APP下載_Android_20201120_股票圖,APP_INSTALLS,0,,,,,,20201122,FB
202010160005405,武財神_APP下載_Android_20201120_自動化廣告_股票圖,APP_INSTALLS,7,1,,,,,20201122,FB
202010160005406,武財神_APP下載_iOS_20201120_自動化廣告_股票,APP_INSTALLS,0,,,,,,20201122,FB
202010160005407,股市爆料同學會_理財受眾A(非儲備受眾)_20201120,APP_INSTALLS,295,41,,,,,20201122,FB
202010160005408,股市爆料同學會_大眾_20201120,APP_INSTALLS,361,40,,,,,20201122,FB
202010160005409,武財神_APP下載_iOS_20201120_股票圖,APP_INSTALLS,253,17,,,,,20201122,FB
202010160005410,股市爆料同學會_測試專用_20201120,APP_INSTALLS,452,57,,,,,20201122,FB
202010160005411,權證小哥_1120(轉換)_籌K銷售,CONVERSIONS,2009,,19,132710,,,20201122,FB
202010160005412,施雅棠_流量_導直播,LINK_CLICKS,486,,15,54712,,,20201122,FB
202010160005413,股市爆料同學會_測試專用_20200606(下載),APP_INSTALLS,2927,376,4,12478,,,20201123,FB
202010160005414,20200801_林恩如_AOS_下載_軟體,APP_INSTALLS,248,15,,,,,20201123,FB
202010160005415,20200801_林恩如_iOS_下載_軟體,APP_INSTALLS,547,28,,,13,5530,20201123,FB
202010160005416,股市爆料同學會_大眾TA_20200828,APP_INSTALLS,5,,,,,,20201123,FB
202010160005417,無聊詹_IOS_軟體,APP_INSTALLS,118,5,,,,,20201123,FB
202010160005418,無聊詹_AOS_軟體,APP_INSTALLS,119,18,,,,,20201123,FB
202010160005419,股市爆料同學會_大眾TA_20200915,APP_INSTALLS,16,2,,,,,20201123,FB
202010160005420,股市爆料同學會_再行銷_20200922,APP_INSTALLS,127,12,,,,,20201123,FB
202010160005421,20200922_艾蜜莉APP_IOS_下載_軟體,APP_INSTALLS,1004,94,,,,,20201123,FB
202010160005422,20200922_艾蜜莉APP_Android_下載_軟體,APP_INSTALLS,356,28,,,,,20201123,FB
202010160005423,股市爆料同學會_Henry_自動化應用程式廣告Test_20200923_Android,APP_INSTALLS,4,1,,,,,20201123,FB
202010160005424,股市爆料同學會_理財綜合(非儲備受眾)_20200923,APP_INSTALLS,0,,,,,,20201123,FB
202010160005425,股市爆料同學會_Henry_自動化應用程式廣告Test_20200923_iOS,APP_INSTALLS,4,3,,,,,20201123,FB
202010160005426,丹尼爾_AOS_下載_軟體,APP_INSTALLS,23,2,,,,,20201123,FB
202010160005427,丹尼爾_IOS_下載_軟體,APP_INSTALLS,59,5,,,,,20201123,FB
202010160005428,股市爆料同學會_CM粉專_20201014,APP_INSTALLS,7,,,,,,20201123,FB
202010160005429,股市爆料同學會_影片廣告(無設受眾)_20201015_iOS,APP_INSTALLS,19,3,,,,,20201123,FB
202010160005430,股市爆料同學會_理財受眾A(非儲備受眾)_20201016,APP_INSTALLS,14,2,,,,,20201123,FB
202010160005431,第八屆大大工程師_20201020_陌生開發,LINK_CLICKS,973,,1,8388,,,20201123,FB
202010160005432,股市爆料同學會_影片廣告(無設受眾)_20201015_Android,APP_INSTALLS,12,2,,,,,20201123,FB
202010160005433,2020Q4林恩如_期指講座_轉換,CONVERSIONS,2556,,4,21081,,,20201123,FB
202010160005434,權證小哥_1023(轉換)_關鍵分點獨門解析講座,CONVERSIONS,792,,2,12159,,,20201123,FB
202010160005435,第八屆大大工程師_20201027_再行銷,LINK_CLICKS,615,,1,3590,,,20201123,FB
202010160005436,權證小哥_1029(觸及)_當沖實戰精華班,REACH,198,,1,3771,,,20201123,FB
202010160005437,2020 Q4 恩如LIKE,PAGE_LIKES,1200,,,,,,20201123,FB
202010160005438,第八屆大大工程師_20201103_精準組合,LINK_CLICKS,2034,,1,5808,,,20201123,FB
202010160005439,股市爆料同學會_理財受眾A(非儲備受眾)_20201105,APP_INSTALLS,9,,,,,,20201123,FB
202010160005440,股市爆料同學會_理財受眾A(非儲備受眾)_20201106,APP_INSTALLS,3,1,,,,,20201123,FB
202010160005441,2020Q4林恩如_實戰班講座_轉換,CONVERSIONS,4185,,14,90368,,,20201123,FB
202010160005442,20201110_艾蜜莉下載_IOS_自動化廣告_軟體,APP_INSTALLS,233,26,,,1,390,20201123,FB
202010160005443,20201110_艾蜜莉下載_Android_自動化廣告_軟體,APP_INSTALLS,237,18,,,,,20201123,FB
202010160005444,期貨電子盤_下載_IOS,APP_INSTALLS,104,3,,,,,20201123,FB
202010160005445,期貨電子盤_下載_Android-興趣期貨Broken,APP_INSTALLS,7,1,,,,,20201123,FB
202010160005446,期貨電子盤_下載_IOS,APP_INSTALLS,1,,,,,,20201123,FB
202010160005447,期貨電子盤_下載_Android,APP_INSTALLS,6,,,,,,20201123,FB
202010160005448,順流小畢_1113(轉換)_商務艙推廣,CONVERSIONS,199,,2,12189,,,20201123,FB
202010160005449,20201119_阿格力_下載_Android,APP_INSTALLS,651,34,1,11888,,,20201123,FB
202010160005450,武財神_APP下載_Android_20201120_股票圖,APP_INSTALLS,0,,,,,,20201123,FB
202010160005451,武財神_APP下載_Android_20201120_自動化廣告_股票圖,APP_INSTALLS,7,,,,,,20201123,FB
202010160005452,武財神_APP下載_iOS_20201120_自動化廣告_股票,APP_INSTALLS,0,,,,,,20201123,FB
202010160005453,股市爆料同學會_理財受眾A(非儲備受眾)_20201120,APP_INSTALLS,101,13,,,,,20201123,FB
202010160005454,股市爆料同學會_大眾_20201120,APP_INSTALLS,95,11,,,,,20201123,FB
202010160005455,武財神_APP下載_iOS_20201120_股票圖,APP_INSTALLS,252,9,,,,,20201123,FB
202010160005456,股市爆料同學會_測試專用_20201120,APP_INSTALLS,233,21,,,,,20201123,FB
202010160005457,權證小哥_1120(轉換)_籌K銷售,CONVERSIONS,2325,,37,206229,,,20201123,FB
202010160005458,施雅棠_流量_導直播,LINK_CLICKS,514,,3,17964,,,20201123,FB
202010160005459,第三屆大大PM營,LINK_CLICKS,686,,7,5888,,,20201123,FB
202010160005460,股市爆料同學會_測試專用_20200606(下載),APP_INSTALLS,2808,352,1,5765,,,20201124,FB
202010160005461,20200801_林恩如_AOS_下載_軟體,APP_INSTALLS,259,26,,,,,20201124,FB
202010160005462,20200801_林恩如_iOS_下載_軟體,APP_INSTALLS,904,42,,,8,790,20201124,FB
202010160005463,股市爆料同學會_大眾TA_20200828,APP_INSTALLS,8,,,,,,20201124,FB
202010160005464,無聊詹_IOS_軟體,APP_INSTALLS,163,6,,,,,20201124,FB
202010160005465,無聊詹_AOS_軟體,APP_INSTALLS,236,22,,,,,20201124,FB
202010160005466,股市爆料同學會_再行銷_20200922,APP_INSTALLS,23,1,,,,,20201124,FB
202010160005467,20200922_艾蜜莉APP_IOS_下載_軟體,APP_INSTALLS,1005,88,,,,,20201124,FB
202010160005468,20200922_艾蜜莉APP_Android_下載_軟體,APP_INSTALLS,361,29,,,,,20201124,FB
202010160005469,股市爆料同學會_Henry_自動化應用程式廣告Test_20200923_Android,APP_INSTALLS,4,2,,,,,20201124,FB
202010160005470,股市爆料同學會_理財綜合(非儲備受眾)_20200923,APP_INSTALLS,0,,,,,,20201124,FB
202010160005471,丹尼爾_AOS_下載_軟體,APP_INSTALLS,32,2,,,,,20201124,FB
202010160005472,丹尼爾_IOS_下載_軟體,APP_INSTALLS,118,5,1,1980,,,20201124,FB
202010160005473,股市爆料同學會_CM粉專_20201014,APP_INSTALLS,1,,,,,,20201124,FB
202010160005474,股市爆料同學會_影片廣告(無設受眾)_20201015_iOS,APP_INSTALLS,12,1,,,,,20201124,FB
202010160005475,股市爆料同學會_理財受眾A(非儲備受眾)_20201016,APP_INSTALLS,21,4,,,,,20201124,FB
