Serial_Number,Campaign_Name,Adset_Name,Objective,Amount_Spent,Amount_Install,Amount_Purchase,Purchase_Conversion_Value,Amount_Subscribe,Subscribe_Conversion_Value,Category,Reporting_Date
201912290000,期貨電子盤_下載_IOS(舊),興趣期貨受眾_IOS,APP_INSTALLS,45,1,,,,,FB,20191229
201912290001,期貨電子盤_下載_IOS(舊),期貨電子盤類似受眾_IOS,APP_INSTALLS,157,6,,,,,FB,20191229
201912290002,籌碼K線_ 競價下載_行銷活動花費無限制,理財寶相關受眾_出價上限35元_圖片_KUSO畫面_android,APP_INSTALLS,101,6,1,3290,,,FB,20191229
201912290003,籌碼K線_ 競價下載_行銷活動花費無限制,理財寶相關受眾_出價上限50元_圖片_App畫面_android,APP_INSTALLS,100,8,,,,,FB,20191229
201912290004,期貨電子盤_下載_IOS(舊),安裝過籌碼K線APP_IOS,APP_INSTALLS,2,,,,,,FB,20191229
201912290005,強棒-應用程式安裝_林恩如,20190527-安卓測試,APP_INSTALLS,503,26,1,3290,,,FB,20191229
201912290006,籌碼K線_ 競價下載_行銷活動花費無限制,股票興趣受眾_成本無上限_影片_App畫面_android,APP_INSTALLS,102,5,,,,,FB,20191229
201912290007,丹尼爾-應用程式安裝,20190912-理財寶類似受眾,APP_INSTALLS,504,30,1,899,,,FB,20191229
201912290008,強棒-應用程式安裝_林恩如,20190919-曾購APP類似受眾,APP_INSTALLS,504,13,,,,,FB,20191229
201912290009,艾蜜莉-應用程式安裝_軟體,20191008-基本面受眾,APP_INSTALLS,0,,,,,,FB,20191229
2019122900010,正在查看的籌碼K線下載細項,180天與(艾蜜莉、陳重銘)粉專有互動者 並排除使用籌碼K用戶 無成本上限,APP_INSTALLS,101,2,,,,,FB,20191229
2019122900011,20200923_籌碼K線_最後衝刺_iOS,籌碼K_以股市為興趣_圖片_ios,APP_INSTALLS,4909,119,3,2905,1,3390,FB,20191229
2019122900012,丹尼爾-應用程式安裝,20191119-理財寶類似受眾,APP_INSTALLS,204,15,2,12077,,,FB,20191229
2019122900013,20200923_籌碼K線_最後衝刺_iOS,籌碼K_以股市為興趣_影片_ios,APP_INSTALLS,1968,40,1,149,,,FB,20191229
2019122900014,20200923_籌碼K線_最後衝刺_iOS,籌碼K線APP_柴鼠影_ios,APP_INSTALLS,201,5,,,1,380,FB,20191229
2019122900015,20200923_籌碼K線_最後衝刺_iOS,20191216_籌碼K線APP_ios_看過柴鼠影片_純30秒功能介紹,APP_INSTALLS,29,1,,,,,FB,20191229
2019122900016,20200923_籌碼K線_最後衝刺_iOS,20191216_籌碼K線APP_android_看過柴鼠影片_純30秒功能介紹,APP_INSTALLS,100,7,,,,,FB,20191229
2019122900017,20200923_籌碼K線_最後衝刺_iOS,20191216_籌碼K線APP_android_看過柴鼠影片_限時全功能,APP_INSTALLS,22,,,,,,FB,20191229
2019122900018,大大PM_第二屆招生,大大PM-第二屆招生,LINK_CLICKS,4085,,5,33965,,,FB,20191229
2019122900019,丹尼爾-應用程式安裝,20191220-興趣取向,APP_INSTALLS,203,6,,,,,FB,20191229
2019122900020,丹尼爾-應用程式安裝,20191220-興趣取向,APP_INSTALLS,204,4,,,,,FB,20191229
2019122900021,權證小哥_講座_轉換次數(購買),20191223-小哥受眾-台中,CONVERSIONS,203,,4,25171,,,FB,20191229
2019122900022,權證小哥_講座_轉換次數(購買),20191223-小哥受眾-台北,CONVERSIONS,204,,8,12447,,,FB,20191229
2019122900023,權證小哥_講座_轉換次數(購買),20191223-小哥受眾-南部,CONVERSIONS,205,,1,3771,,,FB,20191229
2019122900024,20200923_籌碼K線_最後衝刺_iOS,20191223_籌碼K線APP_ios_小哥受眾_限時全功能,APP_INSTALLS,116,2,,,,,FB,20191229
2019122900025,20191224同學會_聖誕節活動,20191224同學會聖誕節,POST_ENGAGEMENT,1255,,,,,,FB,20191229
