Serial_Number,Campaign_Name,Adset_Name,Objective,Amount_Spent,Amount_Install,Amount_Purchase,Purchase_Conversion_Value,Amount_Subscribe,Subscribe_Conversion_Value,Reporting_Date,Category
2020120800031146,武財神_APP下載_Android_20200723,武財神__Android_25-65+_興趣_道教_自動版位,APP_INSTALLS,195,27,,,,,20201208,FB
2020120800031147,武財神_APP下載_Android_20200723,武財神__Android_25-65+_類似受眾_安裝APP_自動版位,APP_INSTALLS,175,17,,,,,20201208,FB
2020120800031148,武財神_APP下載_Android_20200723,武財神__Android_25-65+_類似受眾_上香_自動版位,APP_INSTALLS,64,4,,,,,20201208,FB
2020120800031149,武財神_APP下載_iOS_20200723,武財神__iOS_25-65+_興趣_道教_自動版位,APP_INSTALLS,39,2,,,,,20201208,FB
2020120800031150,武財神_APP下載_iOS_20200723,武財神__iOS_25-65+_類似受眾_安裝APP_自動版位,APP_INSTALLS,45,5,,,,,20201208,FB
2020120800031151,武財神_APP下載_iOS_20200723,武財神__iOS_25-65+_類似受眾_上香_自動版位,APP_INSTALLS,15,1,,,,,20201208,FB
2020120800031152,20200801_林恩如_AOS_下載_軟體,林恩如_Android_財經興趣,APP_INSTALLS,109,6,,,,,20201208,FB
2020120800031153,20200801_林恩如_AOS_下載_軟體,林恩如_Android_波段官網30D相似受眾,APP_INSTALLS,4,,,,,,20201208,FB
2020120800031154,20200801_林恩如_AOS_下載_軟體,林恩如_Android_基本面造訪,APP_INSTALLS,0,,,,,,20201208,FB
2020120800031155,20200801_林恩如_AOS_下載_軟體,林恩如_Android_林恩如相似受眾,APP_INSTALLS,81,6,1,1988,,,20201208,FB
2020120800031156,20200801_林恩如_iOS_下載_軟體,林恩如_iOS_基本面造訪,APP_INSTALLS,24,2,,,,,20201208,FB
2020120800031157,20200801_林恩如_iOS_下載_軟體,林恩如_iOS_林恩如相似受眾,APP_INSTALLS,218,18,,,1,,20201208,FB
