Serial_Number,Campaign_Name,Adset_Name,Ad_Name,Objective,Amount_Spent,Amount_Install,Amount_Purchase,Purchase_Conversion_Value,Amount_Subscribe,Subscribe_Conversion_Value,CPM,CTR,Impressions,Reporting_Date,Category
2021010500045941,武財神_文案測試_0109,已購買武德宮,文案測試3:接案翻倍,CONVERSIONS,38,,,,,,1117.647059,0,34,20210105,FB
2021010500045942,武財神_文案測試_0109,已購買武德宮,文案測試4:沒錢買衣服,CONVERSIONS,94,,,,,,912.621359,14.563107,103,20210105,FB
2021010500045943,武財神_文案測試_0109,已購買武德宮,文案測試5:人擠人,CONVERSIONS,403,,1,999,,,846.638655,10.294118,476,20210105,FB
2021010500045944,武財神_文案測試_0109,已購買武德宮,文案測試6:只要999,CONVERSIONS,180,,,,,,1440,18.4,125,20210105,FB
2021010500045945,武財神_文案測試_0109,已購買武德宮,文案測試7:水逆,CONVERSIONS,88,,2,1998,,,897.959184,11.22449,98,20210105,FB
2021010500045946,武財神_APP下載_Android_20200723,武財神__Android_25-65+_興趣_道教_自動版位,上香功能影片,APP_INSTALLS,152,16,,,,,46.327339,1.462969,3281,20210105,FB
2021010500045947,武財神_APP下載_Android_20200723,武財神__Android_25-65+_類似受眾_安裝APP_自動版位,上香功能影片,APP_INSTALLS,148,17,,,,,95.238095,2.574003,1554,20210105,FB
2021010500045948,武財神_APP下載_iOS_20200723,武財神__iOS_25-65+_興趣_道教_自動版位,上香功能影片,APP_INSTALLS,75,3,,,,,96.649485,1.93299,776,20210105,FB
2021010500045949,武財神_APP下載_iOS_20200723,武財神__iOS_25-65+_類似受眾_安裝APP_自動版位,求籤圖片,APP_INSTALLS,14,,,,,,148.93617,1.06383,94,20210105,FB
2021010500045950,武財神_APP下載_iOS_20200723,武財神__iOS_25-65+_類似受眾_上香_自動版位,求籤圖片,APP_INSTALLS,21,1,,,,,159.090909,1.515152,132,20210105,FB
2021010500045951,武財神_APP下載_iOS_20200904,武財神__iOS_25-65+_類似受眾_運勢_自動版位,求籤圖片１,APP_INSTALLS,79,3,,,,,110.644258,1.960784,714,20210105,FB
2021010500045952,武財神_APP下載_iOS_20200904,武財神__iOS_25-65+_類似受眾_運勢_自動版位,上香影片,APP_INSTALLS,21,6,,,,,81.712062,4.669261,257,20210105,FB
2021010500045953,20200922_艾蜜莉APP_IOS_下載_軟體,財報投資受眾_IOS (便宜價),單一圖片_便宜價,APP_INSTALLS,2463,168,,,,,114.080593,1.815655,21590,20210105,FB
2021010500045954,20200922_艾蜜莉APP_Android_下載_軟體,財報投資受眾_Android (便宜價),單一圖片_便宜價,APP_INSTALLS,3784,188,4,5885,,,107.365793,1.407332,35244,20210105,FB
2021010500045955,20200922_艾蜜莉APP_IOS_下載_軟體,財報投資受眾_IOS (股災影片),單一影片_股災影片,APP_INSTALLS,7,,,,,,53.435115,1.526718,131,20210105,FB
2021010500045956,20200922_艾蜜莉APP_Android_下載_軟體,財報投資受眾_Android (股災影片),單一影片_股災影片,APP_INSTALLS,0,,,,,,0,0,1,20210105,FB
2021010500045957,20200922_艾蜜莉APP_Android_下載_軟體,基本面受眾_Android (股災影片),單一影片_股災影片,APP_INSTALLS,0,,,,,,0,0,11,20210105,FB
2021010500045958,20200922_艾蜜莉APP_Android_下載_軟體,基本面受眾_Android (便宜價),單一圖片_便宜價,APP_INSTALLS,0,,,,,,0,0,6,20210105,FB
2021010500045959,武財神_APP下載_Android_2020928_自動化測試,TW - 18+,所有素材,APP_INSTALLS,2,,,,,,64.516129,0,31,20210105,FB
2021010500045960,股市爆料同學會_測試專用_20200606(下載),(理財A)股市爆料同學會_測試_iOS _20201106,測試_iOS_20201106,APP_INSTALLS,184,38,1,399,,,45.131224,3.213147,4077,20210105,FB
2021010500045961,20201110_艾蜜莉下載_IOS_自動化廣告_軟體,IOS_自動化廣告,自動化廣告,APP_INSTALLS,269,18,,,,,90.298758,1.644847,2979,20210105,FB
2021010500045962,20201110_艾蜜莉下載_Android_自動化廣告_軟體,Android_自動化廣告,自動化廣告,APP_INSTALLS,150,12,,,,,77.720207,1.139896,1930,20210105,FB
2021010500045963,股市爆料同學會_測試專用_20200606(下載),(理財A)股市爆料同學會_測試2_iOS _20201113(改梗圖),測試2_iOS_20201113(改梗圖),APP_INSTALLS,0,,,,,,0,0,2,20210105,FB
2021010500045964,股市爆料同學會_測試專用_20200606(下載),(理財A)股市爆料同學會_測試_iOS _20201113,測試1_iOS_20201113,APP_INSTALLS,0,,,,,,0,0,2,20210105,FB
2021010500045965,20200922_艾蜜莉APP_IOS_下載_軟體,同學會受眾_IOS (便宜價),單一圖片_便宜價,APP_INSTALLS,69,4,,,,,128.252788,1.115242,538,20210105,FB
2021010500045966,20200922_艾蜜莉APP_Android_下載_軟體,同學會受眾_Android (便宜價),單一圖片_便宜價,APP_INSTALLS,4,,,,,,83.333333,2.083333,48,20210105,FB
