Campaign_name,Objective,Amount_spent(NTD),Amount_install,Amount_purchase,Purchase_Conversion_Value,Amount_subscribe,Subscribe_Conversion_Value,Reporting_date
籌碼K線_ 競價下載_行銷活動花費無限制,APP_INSTALLS,904,29,1,400,1,400,2020-05-15
期貨電子盤_下載_IOS(舊),APP_INSTALLS,113,4,,,,,2020-05-15
股市爆料同學會_20190617(下載),APP_INSTALLS,1177,149,5,10637,,,2020-05-15
20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,6448,276,4,3996,1,3590,2020-05-15
武財神_APP下載_20200221,APP_INSTALLS,220,35,,,,,2020-05-15
林恩如_2020講座(購買)_講座,CONVERSIONS,485,,1,8818,,,2020-05-15
iCheck APP下載_20200324,APP_INSTALLS,499,46,,,,,2020-05-15
股市爆料同學會_影片廣告_20200416(下載),APP_INSTALLS,77,19,,,,,2020-05-15
股市爆料同學會_常駐廣告_20200416(下載),APP_INSTALLS,464,68,,,,,2020-05-15
股人阿勳_下載_軟體,APP_INSTALLS,495,41,5,2484,,,2020-05-15
阿格力_下載_軟體,APP_INSTALLS,9,,,,,,2020-05-15
權證小哥_軟體_導購_20200505,LINK_CLICKS,100,,4,18731,,,2020-05-15
20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,2896,110,4,5657,1,3590,2020-05-15
林恩如_下載_0504建立_軟體,APP_INSTALLS,339,29,,,,,2020-05-15
20200506_阿格力_購買_首購銷售,CONVERSIONS,3460,,38,66843,,,2020-05-15
艾蜜莉_202005五折天銷售轉換(購買)_軟體,CONVERSIONS,9152,,71,28043,,,2020-05-15
艾蜜莉_2020溫馨五月銷售轉換(購買)_軟體,CONVERSIONS,10682,,98,54769,,,2020-05-15
20200513-0520_林恩如_2020技術分析實戰班_購買_講座,CONVERSIONS,192,,6,46222,,,2020-05-15
20200513_林恩如_AOS_下載_軟體,APP_INSTALLS,28,6,,,,,2020-05-15
20200515_股人阿勳_貼文互動,POST_ENGAGEMENT,1179,,2,1587,,,2020-05-15
20200514_林恩如_IOS_下載_軟體,APP_INSTALLS,113,10,,,,,2020-05-15
期貨電子盤_下載_IOS(舊),APP_INSTALLS,130,5,1,1288,,,2020-05-16
股市爆料同學會_20190617(下載),APP_INSTALLS,996,133,2,2576,,,2020-05-16
20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,7906,339,2,5578,5,8390,2020-05-16
武財神_APP下載_20200221,APP_INSTALLS,217,25,,,,,2020-05-16
林恩如_2020講座(購買)_講座,CONVERSIONS,532,,,,,,2020-05-16
iCheck APP下載_20200324,APP_INSTALLS,527,57,,,,,2020-05-16
股市爆料同學會_影片廣告_20200416(下載),APP_INSTALLS,126,20,1,,,,2020-05-16
股市爆料同學會_常駐廣告_20200416(下載),APP_INSTALLS,464,71,1,489,,,2020-05-16
股人阿勳_下載_軟體,APP_INSTALLS,800,75,1,299,,,2020-05-16
權證小哥_軟體_導購_20200505,LINK_CLICKS,100,,5,20002,,,2020-05-16
20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,3261,102,1,1799,,,2020-05-16
林恩如_下載_0504建立_軟體,APP_INSTALLS,373,52,,,,,2020-05-16
20200506_阿格力_購買_首購銷售,CONVERSIONS,3820,,47,64052,,,2020-05-16
艾蜜莉_202005五折天銷售轉換(購買)_軟體,CONVERSIONS,690,,1,299,,,2020-05-16
艾蜜莉_2020溫馨五月銷售轉換(購買)_軟體,CONVERSIONS,2,,,,,,2020-05-16
20200513-0520_林恩如_2020技術分析實戰班_購買_講座,CONVERSIONS,487,,6,22941,,,2020-05-16
20200513_林恩如_AOS_下載_軟體,APP_INSTALLS,143,14,,,,,2020-05-16
20200515_股人阿勳_貼文互動,POST_ENGAGEMENT,1714,,2,2576,,,2020-05-16
20200514_林恩如_IOS_下載_軟體,APP_INSTALLS,69,11,,,,,2020-05-16
期貨電子盤_下載_IOS(舊),APP_INSTALLS,114,3,1,,,,2020-05-17
股市爆料同學會_20190617(下載),APP_INSTALLS,1099,165,1,1288,,,2020-05-17
20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,7590,314,4,2177,4,4790,2020-05-17
武財神_APP下載_20200221,APP_INSTALLS,209,34,,,,,2020-05-17
林恩如_2020講座(購買)_講座,CONVERSIONS,575,,1,1288,,,2020-05-17
iCheck APP下載_20200324,APP_INSTALLS,502,52,,,,,2020-05-17
股市爆料同學會_影片廣告_20200416(下載),APP_INSTALLS,111,14,,,,,2020-05-17
股市爆料同學會_常駐廣告_20200416(下載),APP_INSTALLS,402,69,2,2576,,,2020-05-17
股人阿勳_下載_軟體,APP_INSTALLS,872,88,6,3174,,,2020-05-17
權證小哥_軟體_導購_20200505,LINK_CLICKS,100,,2,4314,,,2020-05-17
20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,1477,64,2,1777,1,3590,2020-05-17
林恩如_下載_0504建立_軟體,APP_INSTALLS,394,45,1,,,,2020-05-17
20200506_阿格力_購買_首購銷售,CONVERSIONS,3832,,47,74228,,,2020-05-17
20200513-0520_林恩如_2020技術分析實戰班_購買_講座,CONVERSIONS,521,,4,36310,,,2020-05-17
20200513_林恩如_AOS_下載_軟體,APP_INSTALLS,75,7,,,,,2020-05-17
20200515_股人阿勳_貼文互動,POST_ENGAGEMENT,1723,,7,35025,,,2020-05-17
20200514_林恩如_IOS_下載_軟體,APP_INSTALLS,21,1,,,,,2020-05-17
期貨電子盤_下載_IOS(舊),APP_INSTALLS,121,6,,,,,2020-05-18
股市爆料同學會_20190617(下載),APP_INSTALLS,990,160,,,,,2020-05-18
20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,7446,299,5,6677,2,3990,2020-05-18
武財神_APP下載_20200221,APP_INSTALLS,208,28,,,,,2020-05-18
林恩如_2020講座(購買)_講座,CONVERSIONS,574,,2,2098,,,2020-05-18
iCheck APP下載_20200324,APP_INSTALLS,490,48,,,,,2020-05-18
股市爆料同學會_影片廣告_20200416(下載),APP_INSTALLS,70,10,,,,,2020-05-18
股市爆料同學會_常駐廣告_20200416(下載),APP_INSTALLS,334,45,,,,,2020-05-18
股人阿勳_下載_軟體,APP_INSTALLS,760,61,1,3771,,,2020-05-18
權證小哥_軟體_導購_20200505,LINK_CLICKS,100,,,,,,2020-05-18
20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,1088,55,2,12864,1,400,2020-05-18
林恩如_下載_0504建立_軟體,APP_INSTALLS,353,42,,,,,2020-05-18
20200506_阿格力_購買_首購銷售,CONVERSIONS,3182,,52,47075,,,2020-05-18
